goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   33729	     33464 ns/op	      1080 nominalGas/op	    7134 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   32307	     35408 ns/op	      1080 nominalGas/op	    7132 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   36114	     34343 ns/op	      1080 nominalGas/op	    7132 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   36882	     35036 ns/op	      1080 nominalGas/op	    7133 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   33894	     32703 ns/op	      1080 nominalGas/op	    7133 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   35632	     35099 ns/op	      1080 nominalGas/op	    7134 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   30567	     41726 ns/op	      1560 nominalGas/op	    7680 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   28630	     40826 ns/op	      1560 nominalGas/op	    7680 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   33342	     41681 ns/op	      1560 nominalGas/op	    7678 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   29868	     37877 ns/op	      1560 nominalGas/op	    7679 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   29757	     39351 ns/op	      1560 nominalGas/op	    7678 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   30631	     40882 ns/op	      1560 nominalGas/op	    7679 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   31779	     37522 ns/op	      1560 nominalGas/op	    7678 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   32020	     38660 ns/op	      1560 nominalGas/op	    7679 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   30573	     39512 ns/op	      1560 nominalGas/op	    7677 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   30428	     37918 ns/op	      1560 nominalGas/op	    7679 B/op	      75 allocs/op
PASS
ok  	github.com/ethereum/go-ethereum/core/vm/runtime	329.259s
