goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6764	    186421 ns/op	     89292 gas/op	   32042 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6382	    185283 ns/op	     89292 gas/op	   32042 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6656	    185525 ns/op	     89292 gas/op	   32042 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6607	    190019 ns/op	     89292 gas/op	   32041 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6663	    185636 ns/op	     89292 gas/op	   32041 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6560	    188115 ns/op	     89292 gas/op	   32042 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6650	    184005 ns/op	     89292 gas/op	   32041 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6762	    184492 ns/op	     89292 gas/op	   32042 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6538	    191490 ns/op	     89292 gas/op	   32042 B/op	      46 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   32287	     37330 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   32521	     37802 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   32305	     39199 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   31041	     37550 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   31717	     37623 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   31550	     37728 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   32220	     38371 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-5-square-Gas=17868-6             	   32496	     37849 ns/op	     17868 gas/op	   11748 B/op	      26 allocs/op
